"Светодиодная (LED) лампа Ecomir 3W(3вт), GU10, 220V, желтый свет 3000к, световой поток 260лм (43132)",79 руб
"Светодиодная (LED) лампа Ecomir 5.5W(5.5вт), E27, 220V,желтый свет 3000к, световой поток 570лм (42920)",89 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт), GU5.3, 220V, Желтый свет 3000К, Световой поток 300лм (43118)",89 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт), GU10, 220V, желтый свет 3000К, световой поток 300лм  (43149)",89 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт), GU5.3, 12V, желтый свет 3000к, световой поток 300лм (43361)",89 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт), GU5.3, 220V, желтый свет 3000К, световой поток 300лм  (43354)",89 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт), GU10, 220V, желтый свет 3000к, световой поток 300лм  (43378)",89 руб
"Светодиодная (LED) лампа Ecomir 3W (3 Вт), E14, 220V, желтый свет 3000 К, световой поток 285 лм (42883)",99 руб
"Светодиодная (LED) лампа Ecomir E14, 220V (вольт) 3W (3 Вт), желтый цвет 3000K, световой поток 285 лм (42890)",99 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт),E14, 220V, желтый свет 3000к,световой поток 400лм (42906)",99 руб
"Светодиодная (LED) лампа Ecomir 4W(4 вт) E27, 220V, желтый свет 3000к,световой поток 400лм (42913)",99 руб
"Светодиодная (LED) лампа Ecomir 7W(7вт), E27, 220V, желтый свет 3000к,световой поток 710лм (42937)",99 руб
"Светодиодная (LED) лампа Ecomir 3W(3вт), GU5.3, 12V,желтый свет 3000к,световой поток 260лм (43071)",99 руб
"Светодиодная (LED) лампа Ecomir 5W(5вт), GU5.3, 12V,желтый свет 3000к,световой поток 350лм (43095)",99 руб
"Светодиодная (LED) лампа Ecomir 3W(3вт), GU5.3, 220V, Желтый свет 3000к, световой поток 260лм (43101)",99 руб
"Светодиодная (LED) лампа Ecomir 5W(5вт), GU5.3, 220V, желтый свет 3000к, световой поток 350лм (43125)",99 руб
"Светодиодная (LED) лампа Ecomir 5W(5вт), GU10, 220V, желтый свет 3000к, световой потк 350лм (43156)",99 руб
"Светодиодная (LED) лампа Ecomir 4W(4вт), GU5.3, 12V,желтый свет,световой поток 300лм (43088)",129 руб
"Светодиодная (LED) лампа X-Flash Finger G4. 1.5W(1.5вт),желтый свет 3000K, световой поток 110лм, 12V (45112)",139 руб
"Светодиодная (LED) лампа X-Flash Finger G4 1.5W(5вт),белый свет 4000K,световой поток 120лм, 12V(в) (45136)",139 руб
"Светодиодная (LED) лампа X-Flash CANDLE E14 4W(4вт),желтый свет 3000K,световой поток 280лм (44030)",149 руб
"Светодиодная (LED) лампа X-Flash CANDLE E14 3W(3вт),желтый свет 3000K,световой поток 350лм,220V(в) (42524)",149 руб
"Светодиодная (LED) лампа X-Flash CANDLE E14 3W(3вт),белый свет 4000K,световой поток 360лм,220V(в) (44412)",149 руб
"Светодиодная (LED) лампа X-Flash CANDLE E14 3W(3вт),желтый свет3000K,световой поток 330лм,220V(в) (42531)",149 руб
"Светодиодная (LED) лампа X-Flash CANDLE E14 3W(3вт),белый свет 4000K,световой поток 340лм,220V(в) (44399)",149 руб
"Светодиодная (LED) лампа X-Flash MINI E14 4W(4вт),желтый свет 3000K,световой поток 400лм,220V(в) (42548)",149 руб
"Светодиодная (LED) лампа X-Flash MINI E14 4W(4вт),белый свет 4000K,световой поток 420лм,220V(в) (42555)",149 руб
"Светодиодная (LED) лампа X-Flash MINI E27 4W(4вт),желтый свет 3000K,световой поток 400лм,220V(в)  (42562)",149 руб
"Светодиодная (LED) лампа X-Flash MINI E27 4W(4вт),белый свет 4000K,световой поток 420лм,220V(в)  (42579)",149 руб
"Светодиодная (LED) лампа X-Flash Spotlight MR16 P GU5.3 3W(3вт),желтый свет 3000K,световой поток 240лм, 12V(в) (46188)",149 руб
"Светодиодная (LED) лампа X-Flash Spotlight MR16 P GU5.3 3W(3вт),белый свет 4000K,световой поток 250лм, 12V(в) (46171)",149 руб
"Светодиодная (LED) лампа X-Flash SPOTLIGHT MR16 GU5.3 3W(3вт),желтый свет 3000K,световой поток 260лм,12V(в) (42982)",149 руб
"Светодиодная (LED) лампа X-Flash SPOTLIGHT MR16 GU5.3 3W(вт),белый свет 4000K,световой поток 270лм, 12V(в) (44535)",149 руб
"Светодиодная (LED) лампа Ecomir 9W(9вт), E27, 220V, Желтый свет 3000к,световой поток 930лм (42944)",149 руб
"Светодиодная (LED) лампа X-Flash Spotlight MR16 P GU5.3 3W(3вт),желтый свет 3000K,световой поток 240лм, 220V (46164)",149 руб
"Светодиодная (LED) лампа X-Flash Spotlight MR16 P GU5.3 3W(3вт),белый свет 4000K,световой поток 250лм, 220V (46157)",149 руб
Светодиодная лампа X-Flash SPOTLIGHT MR16 GU5.3 3W 3K 220V (43019),149 руб
"Светодиодная (LED) лампа X-Flash SPOTLIGHT MR16 GU5.3 3W(3вт),белый свет 4000K,световой поток 270лм,  220V(в) (44559)",149 руб
"Светодиодная (LED) лампа X-Flash Spotlight MR16 P GU10 3W(3вт),желтый свет 3000K,световой поток 240лм, 220V(в) (46140)",149 руб
